Time,Ch1,Ch2,status
2023/12/05 15:38:25.173,-251,-211,3
2023/12/05 15:38:25.175,-248,-212,3
2023/12/05 15:38:25.176,-246,-213,3
2023/12/05 15:38:25.178,-246,-214,3
2023/12/05 15:38:25.180,-248,-215,3
2023/12/05 15:38:25.181,-252,-215,3
2023/12/05 15:38:25.183,-257,-214,3
2023/12/05 15:38:25.185,-264,-212,3
2023/12/05 15:38:25.186,-272,-209,3
2023/12/05 15:38:25.188,-279,-206,3
2023/12/05 15:38:25.190,-286,-204,3
2023/12/05 15:38:25.191,-292,-202,3
2023/12/05 15:38:25.193,-296,-201,3
2023/12/05 15:38:25.195,-298,-201,3
2023/12/05 15:38:25.196,-299,-203,3
2023/12/05 15:38:25.198,-298,-206,3
2023/12/05 15:38:25.200,-295,-210,3
2023/12/05 15:38:25.201,-293,-215,3
2023/12/05 15:38:25.203,-290,-219,3
2023/12/05 15:38:25.205,-287,-223,3
2023/12/05 15:38:25.206,-285,-225,3
2023/12/05 15:38:25.208,-283,-227,3
2023/12/05 15:38:25.210,-281,-227,3
2023/12/05 15:38:25.211,-279,-226,3
2023/12/05 15:38:25.213,-277,-224,3
2023/12/05 15:38:25.215,-274,-221,3
2023/12/05 15:38:25.216,-270,-217,3
2023/12/05 15:38:25.218,-265,-213,3
2023/12/05 15:38:25.220,-260,-210,3
2023/12/05 15:38:25.221,-256,-206,3
2023/12/05 15:38:25.223,-251,-203,3
2023/12/05 15:38:25.225,-248,-201,3
2023/12/05 15:38:25.226,-247,-199,3
2023/12/05 15:38:25.228,-247,-198,3
2023/12/05 15:38:25.230,-250,-197,3
2023/12/05 15:38:25.231,-254,-196,3
2023/12/05 15:38:25.233,-259,-195,3
2023/12/05 15:38:25.235,-264,-194,3
2023/12/05 15:38:25.236,-269,-193,3
2023/12/05 15:38:25.238,-272,-193,3
2023/12/05 15:38:25.240,-274,-192,3
2023/12/05 15:38:25.241,-275,-193,3
2023/12/05 15:38:25.243,-273,-193,3
2023/12/05 15:38:25.245,-271,-195,3
2023/12/05 15:38:25.246,-268,-197,3
2023/12/05 15:38:25.248,-265,-200,3
2023/12/05 15:38:25.250,-263,-203,3
2023/12/05 15:38:25.251,-263,-206,3
2023/12/05 15:38:25.253,-264,-209,3
2023/12/05 15:38:25.255,-267,-211,3
2023/12/05 15:38:25.256,-270,-213,3
2023/12/05 15:38:25.258,-274,-215,3
2023/12/05 15:38:25.260,-278,-215,3
2023/12/05 15:38:25.261,-281,-215,3
2023/12/05 15:38:25.263,-282,-213,3
2023/12/05 15:38:25.265,-281,-211,3
2023/12/05 15:38:25.266,-278,-209,3
2023/12/05 15:38:25.268,-273,-206,3
2023/12/05 15:38:25.270,-268,-203,3
2023/12/05 15:38:25.271,-261,-200,3
2023/12/05 15:38:25.273,-255,-198,3
2023/12/05 15:38:25.275,-250,-195,3
2023/12/05 15:38:25.276,-245,-194,3
2023/12/05 15:38:25.278,-242,-193,3
2023/12/05 15:38:25.280,-241,-193,3
2023/12/05 15:38:25.281,-240,-195,3
2023/12/05 15:38:25.283,-241,-197,3
2023/12/05 15:38:25.285,-243,-200,3
2023/12/05 15:38:25.286,-245,-204,3
2023/12/05 15:38:25.288,-246,-209,3
2023/12/05 15:38:25.290,-247,-214,3
2023/12/05 15:38:25.291,-247,-219,3
2023/12/05 15:38:25.293,-246,-222,3
2023/12/05 15:38:25.295,-243,-225,3
2023/12/05 15:38:25.296,-238,-226,3
2023/12/05 15:38:25.298,-232,-226,3
2023/12/05 15:38:25.300,-225,-224,3
2023/12/05 15:38:25.301,-218,-221,3
2023/12/05 15:38:25.303,-210,-217,3
2023/12/05 15:38:25.305,-203,-213,3
2023/12/05 15:38:25.306,-196,-209,3
2023/12/05 15:38:25.308,-192,-206,3
2023/12/05 15:38:25.310,-189,-203,3
2023/12/05 15:38:25.311,-189,-202,3
2023/12/05 15:38:25.313,-192,-202,3
2023/12/05 15:38:25.315,-197,-203,3
2023/12/05 15:38:25.316,-205,-205,3
2023/12/05 15:38:25.318,-214,-207,3
2023/12/05 15:38:25.320,-225,-209,3
2023/12/05 15:38:25.321,-236,-211,3
2023/12/05 15:38:25.323,-246,-213,3
2023/12/05 15:38:25.325,-257,-215,3
2023/12/05 15:38:25.326,-266,-216,3
2023/12/05 15:38:25.328,-273,-216,3
2023/12/05 15:38:25.330,-279,-216,3
2023/12/05 15:38:25.331,-283,-216,3
2023/12/05 15:38:25.333,-286,-215,3
2023/12/05 15:38:25.335,-287,-215,3
2023/12/05 15:38:25.336,-286,-214,3
2023/12/05 15:38:25.338,-285,-214,3
2023/12/05 15:38:25.340,-283,-213,3
2023/12/05 15:38:25.341,-279,-213,3
2023/12/05 15:38:25.343,-276,-213,3
2023/12/05 15:38:25.345,-271,-213,3
2023/12/05 15:38:25.346,-267,-213,3
2023/12/05 15:38:25.348,-262,-212,3
2023/12/05 15:38:25.350,-256,-212,3
2023/12/05 15:38:25.351,-251,-211,3
2023/12/05 15:38:25.353,-246,-211,3
2023/12/05 15:38:25.355,-241,-210,3
2023/12/05 15:38:25.356,-236,-209,3
2023/12/05 15:38:25.358,-232,-208,3
2023/12/05 15:38:25.360,-230,-208,3
2023/12/05 15:38:25.361,-228,-207,3
2023/12/05 15:38:25.363,-227,-207,3
2023/12/05 15:38:25.365,-228,-208,3
2023/12/05 15:38:25.366,-229,-208,3
2023/12/05 15:38:25.368,-231,-210,3
2023/12/05 15:38:25.370,-233,-211,3
2023/12/05 15:38:25.371,-235,-212,3
2023/12/05 15:38:25.373,-236,-212,3
2023/12/05 15:38:25.375,-237,-212,3
2023/12/05 15:38:25.376,-237,-211,3
2023/12/05 15:38:25.378,-236,-209,3
2023/12/05 15:38:25.380,-235,-206,3
2023/12/05 15:38:25.381,-235,-203,3
2023/12/05 15:38:25.383,-235,-199,3
2023/12/05 15:38:25.385,-237,-196,3
2023/12/05 15:38:25.386,-241,-194,3
2023/12/05 15:38:25.388,-246,-192,3
2023/12/05 15:38:25.390,-252,-192,3
2023/12/05 15:38:25.391,-259,-193,3
2023/12/05 15:38:25.393,-265,-195,3
2023/12/05 15:38:25.395,-271,-199,3
2023/12/05 15:38:25.396,-275,-203,3
2023/12/05 15:38:25.398,-277,-207,3
2023/12/05 15:38:25.400,-278,-211,3
2023/12/05 15:38:25.401,-276,-215,3
2023/12/05 15:38:25.403,-273,-217,3
2023/12/05 15:38:25.405,-270,-219,3
2023/12/05 15:38:25.406,-268,-220,3
2023/12/05 15:38:25.408,-267,-221,3
2023/12/05 15:38:25.410,-269,-221,3
2023/12/05 15:38:25.411,-274,-220,3
2023/12/05 15:38:25.413,-281,-220,3
2023/12/05 15:38:25.415,-290,-220,3
2023/12/05 15:38:25.416,-300,-220,3
2023/12/05 15:38:25.418,-309,-220,3
2023/12/05 15:38:25.420,-317,-219,3
2023/12/05 15:38:25.421,-321,-219,3
2023/12/05 15:38:25.423,-321,-218,3
2023/12/05 15:38:25.425,-317,-216,3
2023/12/05 15:38:25.426,-309,-213,3
2023/12/05 15:38:25.428,-297,-209,3
2023/12/05 15:38:25.430,-284,-205,3
2023/12/05 15:38:25.431,-271,-201,3
2023/12/05 15:38:25.433,-258,-198,3
2023/12/05 15:38:25.435,-247,-195,3
2023/12/05 15:38:25.436,-239,-193,3
2023/12/05 15:38:25.438,-235,-193,3
2023/12/05 15:38:25.440,-233,-195,3
2023/12/05 15:38:25.441,-233,-199,3
2023/12/05 15:38:25.443,-236,-204,3
2023/12/05 15:38:25.445,-239,-211,3
2023/12/05 15:38:25.446,-242,-218,3
2023/12/05 15:38:25.448,-244,-225,3
2023/12/05 15:38:25.450,-246,-231,3
2023/12/05 15:38:25.451,-246,-236,3
2023/12/05 15:38:25.453,-246,-238,3
2023/12/05 15:38:25.455,-245,-239,3
2023/12/05 15:38:25.456,-244,-238,3
2023/12/05 15:38:25.458,-244,-235,3
2023/12/05 15:38:25.460,-244,-231,3
2023/12/05 15:38:25.461,-245,-227,3
2023/12/05 15:38:25.463,-247,-224,3
2023/12/05 15:38:25.465,-249,-221,3
2023/12/05 15:38:25.466,-251,-220,3
2023/12/05 15:38:25.468,-252,-219,3
2023/12/05 15:38:25.470,-252,-221,3
2023/12/05 15:38:25.471,-250,-223,3
2023/12/05 15:38:25.473,-247,-225,3
2023/12/05 15:38:25.475,-243,-227,3
2023/12/05 15:38:25.476,-238,-229,3
2023/12/05 15:38:25.478,-234,-229,3
2023/12/05 15:38:25.480,-231,-227,3
2023/12/05 15:38:25.481,-229,-224,3
2023/12/05 15:38:25.483,-229,-220,3
2023/12/05 15:38:25.485,-232,-216,3
2023/12/05 15:38:25.486,-237,-211,3
2023/12/05 15:38:25.488,-244,-207,3
2023/12/05 15:38:25.490,-252,-203,3
2023/12/05 15:38:25.491,-261,-201,3
2023/12/05 15:38:25.493,-268,-201,3
2023/12/05 15:38:25.495,-274,-202,3
2023/12/05 15:38:25.496,-278,-204,3
2023/12/05 15:38:25.498,-280,-208,3
2023/12/05 15:38:25.500,-279,-212,3
2023/12/05 15:38:25.501,-275,-216,3
2023/12/05 15:38:25.503,-270,-219,3
2023/12/05 15:38:25.505,-263,-222,3
2023/12/05 15:38:25.506,-255,-224,3
2023/12/05 15:38:25.508,-247,-225,3
2023/12/05 15:38:25.510,-239,-224,3
2023/12/05 15:38:25.511,-231,-223,3
2023/12/05 15:38:25.513,-224,-221,3
